Ayurvedic_Diagnosis,Near_Correlated_English_Equivalent,Category,Sub_Category,Symptom_P1,Symptom_P2,Remarks 
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,ARMS & HANDS,HANDS,STIFFNESS,,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,General Systemic Symptoms,JOINTS,STIFFNESS,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,JOINTS,STIFFNESS,,
Vata- Vata Rakta,VATA GOUT ,General Systemic Symptoms,JOINTS,STIFFNESS,,
Sannipata Vata Rakta,SANNIPATA GOUT  ,General Systemic Symptoms,JOINTS,STIFFNESS,,
Vata Pitta Vata Rakta,Vata-Pitta Gout,General Systemic Symptoms,JOINTS,STIFFNESS,,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,General Systemic Symptoms,JOINTS,STIFFNESS,,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,LOWER BODY,KNEES,STIFFNESS,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,KNEES,STIFFNESS,,
Vata- Vata Rakta,VATA GOUT ,LOWER BODY,KNEES,STIFFNESS,,
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,KNEES,STIFFNESS,,
Vata Pitta Vata Rakta,Vata-Pitta Gout,LOWER BODY,KNEES,STIFFNESS,,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,LOWER BODY,KNEES,STIFFNESS,,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,LOWER BODY,LEGS,STIFFNESS,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,LEGS,STIFFNESS,,
Vata- Vata Rakta,VATA GOUT ,LOWER BODY,LEGS,STIFFNESS,,
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,LEGS,STIFFNESS,,
Vata Pitta Vata Rakta,Vata-Pitta Gout,LOWER BODY,LEGS,STIFFNESS,,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,LOWER BODY,LEGS,STIFFNESS,,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,Upper Body,SHOULDERS,STIFFNESS,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Upper Body,SHOULDERS,STIFFNESS,,
Vata- Vata Rakta,VATA GOUT ,Upper Body,SHOULDERS,STIFFNESS,,
Sannipata Vata Rakta,SANNIPATA GOUT  ,Upper Body,SHOULDERS,STIFFNESS,,
Vata Pitta Vata Rakta,Vata-Pitta Gout,Upper Body,SHOULDERS,STIFFNESS,,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,Upper Body,SHOULDERS,STIFFNESS,,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,LOWER BODY,THIGHS,STIFFNESS,,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,Back & Spine,WAIST,STIFFNESS,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Back & Spine,WAIST,STIFFNESS,,
Vata- Vata Rakta,VATA GOUT ,Back & Spine,WAIST,STIFFNESS,,
Sannipata Vata Rakta,SANNIPATA GOUT  ,Back & Spine,WAIST,STIFFNESS,,
Vata Pitta Vata Rakta,Vata-Pitta Gout,Back & Spine,WAIST,STIFFNESS,,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,Back & Spine,WAIST,STIFFNESS,,
Vata- Vata Rakta,VATA GOUT ,Skin & External Features,SKIN,ROUGHNESS,,
Sannipata Vata Rakta,SANNIPATA GOUT  ,Skin & External Features,SKIN,ROUGHNESS,,
Vata Pitta Vata Rakta,Vata-Pitta Gout,Skin & External Features,SKIN,ROUGHNESS,,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,Skin & External Features,SKIN,ROUGHNESS,,
Vata- Vata Rakta,VATA GOUT ,General Systemic Symptoms,SWELLING,ROUGH,,
Purvarupa VATA RAKTA,PRODROMAL GOUT,Skin & External Features,Cutaneous symptoms,RASHES,,
Pitta- Vata Rakta,PITTA GOUT ,General Systemic Symptoms,Body Temperature Disturbances,PYREXIA,,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,General Systemic Symptoms,SWELLING,Pulsatile movement,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,SWELLING,Pulsatile movement,,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,FEET,Pulling sensation,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,FEET,Pulling sensation,,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,ARMS & HANDS,HANDS,Pulling sensation,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,ARMS & HANDS,HANDS,Pulling sensation,,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,General Systemic Symptoms,JOINTS,Pulling sensation,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,JOINTS,Pulling sensation,,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,KNEES,Pulling sensation,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,KNEES,Pulling sensation,,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,ABDOMINAL REGION,LUMBAR REGION,Pulling sensation,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,ABDOMINAL REGION,LUMBAR REGION,Pulling sensation,,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,Upper Body,SHOULDERS,Pulling sensation,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Upper Body,SHOULDERS,Pulling sensation,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,THIGHS,Pulling sensation,,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,Back & Spine,WAIST,Pulling sensation,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Back & Spine,WAIST,Pulling sensation,,
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Persistent feelings of sadness,,
Purvarupa VATA RAKTA,PRODROMAL GOUT,Skin & External Features,Cutaneous symptoms,PATCHES,,
Vata- Vata Rakta,VATA GOUT ,Circulatory System,BLOOD VESSELS,PAIN,NEEDLING,
Sannipata Vata Rakta,SANNIPATA GOUT  ,Circulatory System,BLOOD VESSELS,PAIN,PRICKING,
Sannipata Vata Rakta,SANNIPATA GOUT  ,Circulatory System,BLOOD VESSELS,PAIN,PIERCING,
Vata Pitta Vata Rakta,Vata-Pitta Gout,Circulatory System,BLOOD VESSELS,PAIN,PRICKING,
Vata Pitta Vata Rakta,Vata-Pitta Gout,Circulatory System,BLOOD VESSELS,PAIN,PIERCING,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,Circulatory System,BLOOD VESSELS,PAIN,PRICKING,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,Circulatory System,BLOOD VESSELS,PAIN,PIERCING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,Whole-Body Symptoms,PAIN,PRICKING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,Whole-Body Symptoms,PAIN,NEEDLING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,Whole-Body Symptoms,PAIN,TEARING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,General Systemic Symptoms,Whole-Body Symptoms,PAIN,CONSTRICTING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,CONSTRICTING,
Kapha- Vata Rakta,KAPHA GOUT ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,MILD
Sannipata Vata Rakta,SANNIPATA GOUT  ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,MILD
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,MILD
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,MILD
Rakta- Vata Rakta,RAKTA GOUT  ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Musculoskeletal System,Bones,PAIN,CUTTING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,FEET,PAIN,PRICKING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,FEET,PAIN,TEARING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,FEET,PAIN,THROBBING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,FEET,PAIN,PIERCING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,FEET,PAIN,NEEDLING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,FEET,PAIN,CONSTRICTING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,LOWER BODY,FEET,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,FEET,PAIN,PIERCING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,FEET,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,FEET,PAIN,CONSTRICTING,
Pitta- Vata Rakta,PITTA GOUT ,LOWER BODY,FEET,PAIN,THROBBING,
Kapha- Vata Rakta,KAPHA GOUT ,LOWER BODY,FEET,PAIN,,MILD
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,FEET,PAIN,PRICKING,
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,FEET,PAIN,,MILD
Vata Pitta Vata Rakta,Vata-Pitta Gout,LOWER BODY,FEET,PAIN,PRICKING,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,LOWER BODY,FEET,PAIN,,MILD
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,LOWER BODY,FEET,PAIN,PRICKING,
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,LOWER BODY,FEET,PAIN,,MILD
Rakta- Vata Rakta,RAKTA GOUT  ,LOWER BODY,FEET,PAIN,,SEVERE
Rakta- Vata Rakta,RAKTA GOUT  ,LOWER BODY,FEET,PAIN,NEEDLING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,ARMS & HANDS,HANDS,PAIN,PRICKING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,ARMS & HANDS,HANDS,PAIN,TEARING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,ARMS & HANDS,HANDS,PAIN,THROBBING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,ARMS & HANDS,HANDS,PAIN,PIERCING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,ARMS & HANDS,HANDS,PAIN,NEEDLING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,ARMS & HANDS,HANDS,PAIN,CONSTRICTING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,ARMS & HANDS,HANDS,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,ARMS & HANDS,HANDS,PAIN,PIERCING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,ARMS & HANDS,HANDS,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,ARMS & HANDS,HANDS,PAIN,CONSTRICTING,
Pitta- Vata Rakta,PITTA GOUT ,ARMS & HANDS,HANDS,PAIN,THROBBING,
Kapha- Vata Rakta,KAPHA GOUT ,ARMS & HANDS,HANDS,PAIN,,MILD
Sannipata Vata Rakta,SANNIPATA GOUT  ,ARMS & HANDS,HANDS,PAIN,PRICKING,
Sannipata Vata Rakta,SANNIPATA GOUT  ,ARMS & HANDS,HANDS,PAIN,,MILD
Vata Pitta Vata Rakta,Vata-Pitta Gout,ARMS & HANDS,HANDS,PAIN,PRICKING,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,ARMS & HANDS,HANDS,PAIN,,MILD
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,ARMS & HANDS,HANDS,PAIN,PRICKING,
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,ARMS & HANDS,HANDS,PAIN,,MILD
Rakta- Vata Rakta,RAKTA GOUT  ,ARMS & HANDS,HANDS,PAIN,,SEVERE
Rakta- Vata Rakta,RAKTA GOUT  ,ARMS & HANDS,HANDS,PAIN,NEEDLING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,JOINTS,PAIN,PRICKING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,JOINTS,PAIN,,
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,JOINTS,PAIN,TEARING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,JOINTS,PAIN,,UNSTABLE
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,JOINTS,PAIN,THROBBING ,
Purvarupa VATA RAKTA,PRODROMAL GOUT,General Systemic Symptoms,JOINTS,PAIN,,FREQUENT
UTANA VATA RAKTA ,SUPERFICIAL GOUT,General Systemic Symptoms,JOINTS,PAIN,PIERCING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,General Systemic Symptoms,JOINTS,PAIN,NEEDLING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,General Systemic Symptoms,JOINTS,PAIN,,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,General Systemic Symptoms,JOINTS,PAIN,CONSTRICTING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,General Systemic Symptoms,JOINTS,PAIN,,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,General Systemic Symptoms,JOINTS,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,JOINTS,PAIN,CUTTING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,JOINTS,PAIN,PIERCING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,JOINTS,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,JOINTS,PAIN,CONSTRICTING,
Pitta- Vata Rakta,PITTA GOUT ,General Systemic Symptoms,JOINTS,PAIN,THROBBING,
Kapha- Vata Rakta,KAPHA GOUT ,General Systemic Symptoms,JOINTS,PAIN,,MILD
Sannipata Vata Rakta,SANNIPATA GOUT  ,General Systemic Symptoms,JOINTS,PAIN,PRICKING,
Sannipata Vata Rakta,SANNIPATA GOUT  ,General Systemic Symptoms,JOINTS,PAIN,,MILD
Vata Pitta Vata Rakta,Vata-Pitta Gout,General Systemic Symptoms,JOINTS,PAIN,PRICKING,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,General Systemic Symptoms,JOINTS,PAIN,,MILD
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,General Systemic Symptoms,JOINTS,PAIN,PRICKING,
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,General Systemic Symptoms,JOINTS,PAIN,,MILD
Rakta- Vata Rakta,RAKTA GOUT  ,General Systemic Symptoms,JOINTS,PAIN,,SEVERE
Rakta- Vata Rakta,RAKTA GOUT  ,General Systemic Symptoms,JOINTS,PAIN,NEEDLING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,KNEES,PAIN,PRICKING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,KNEES,PAIN,TEARING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,KNEES,PAIN,THROBBING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,KNEES,PAIN,NEEDLING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,KNEES,PAIN,CONSTRICTING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,LOWER BODY,KNEES,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,KNEES,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,KNEES,PAIN,CONSTRICTING,
Pitta- Vata Rakta,PITTA GOUT ,LOWER BODY,KNEES,PAIN,THROBBING,
Kapha- Vata Rakta,KAPHA GOUT ,LOWER BODY,KNEES,PAIN,,MILD
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,KNEES,PAIN,PRICKING,
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,KNEES,PAIN,,MILD
Vata Pitta Vata Rakta,Vata-Pitta Gout,LOWER BODY,KNEES,PAIN,PRICKING,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,LOWER BODY,KNEES,PAIN,,MILD
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,LOWER BODY,KNEES,PAIN,PRICKING,
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,LOWER BODY,KNEES,PAIN,,MILD
Rakta- Vata Rakta,RAKTA GOUT  ,LOWER BODY,KNEES,PAIN,,SEVERE
Rakta- Vata Rakta,RAKTA GOUT  ,LOWER BODY,KNEES,PAIN,NEEDLING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,LEGS,PAIN,TEARING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,LEGS,PAIN,THROBBING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,LEGS,PAIN,NEEDLING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,LEGS,PAIN,CONSTRICTING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,LEGS,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,LEGS,PAIN,CONSTRICTING,
Pitta- Vata Rakta,PITTA GOUT ,LOWER BODY,LEGS,PAIN,THROBBING,
Kapha- Vata Rakta,KAPHA GOUT ,LOWER BODY,LEGS,PAIN,,MILD
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,LEGS,PAIN,PRICKING,
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,LEGS,PAIN,,MILD
Vata Pitta Vata Rakta,Vata-Pitta Gout,LOWER BODY,LEGS,PAIN,PRICKING,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,LOWER BODY,LEGS,PAIN,,MILD
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,LOWER BODY,LEGS,PAIN,PRICKING,
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,LOWER BODY,LEGS,PAIN,,MILD
Rakta- Vata Rakta,RAKTA GOUT  ,LOWER BODY,LEGS,PAIN,,SEVERE
Rakta- Vata Rakta,RAKTA GOUT  ,LOWER BODY,LEGS,PAIN,NEEDLING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,LEGS ,PAIN,PRICKING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,Upper Body,SHOULDERS,PAIN,PRICKING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,Upper Body,SHOULDERS,PAIN,TEARING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,Upper Body,SHOULDERS,PAIN,THROBBING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,Upper Body,SHOULDERS,PAIN,NEEDLING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,Upper Body,SHOULDERS,PAIN,CONSTRICTING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,Upper Body,SHOULDERS,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Upper Body,SHOULDERS,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Upper Body,SHOULDERS,PAIN,CONSTRICTING,
Kapha- Vata Rakta,KAPHA GOUT ,Upper Body,SHOULDERS,PAIN,,MILD
Sannipata Vata Rakta,SANNIPATA GOUT  ,Upper Body,SHOULDERS,PAIN,,MILD
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,Upper Body,SHOULDERS,PAIN,,MILD
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,Upper Body,SHOULDERS,PAIN,,MILD
Rakta- Vata Rakta,RAKTA GOUT  ,Upper Body,SHOULDERS,PAIN,,SEVERE
Rakta- Vata Rakta,RAKTA GOUT  ,Upper Body,SHOULDERS,PAIN,NEEDLING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,General Systemic Symptoms,SWELLING,PAIN,PIERCING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,General Systemic Symptoms,SWELLING,PAIN,CUTTING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,SWELLING,PAIN,PIERCING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,General Systemic Symptoms,SWELLING,PAIN,CUTTING,
Rakta- Vata Rakta,RAKTA GOUT  ,General Systemic Symptoms,SWELLING,PAIN,,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,THIGHS,PAIN,PRICKING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,THIGHS,PAIN,TEARING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,THIGHS,PAIN,THROBBING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,THIGHS,PAIN,NEEDLING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,LOWER BODY,THIGHS,PAIN,CONSTRICTING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,LOWER BODY,THIGHS,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,THIGHS,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,LOWER BODY,THIGHS,PAIN,CONSTRICTING,
Pitta- Vata Rakta,PITTA GOUT ,LOWER BODY,THIGHS,PAIN,THROBBING,
Kapha- Vata Rakta,KAPHA GOUT ,LOWER BODY,THIGHS,PAIN,,MILD
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,THIGHS,PAIN,PRICKING,
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,THIGHS,PAIN,,MILD
Vata Pitta Vata Rakta,Vata-Pitta Gout,LOWER BODY,THIGHS,PAIN,PRICKING,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,LOWER BODY,THIGHS,PAIN,,MILD
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,LOWER BODY,THIGHS,PAIN,PRICKING,
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,LOWER BODY,THIGHS,PAIN,,MILD
Rakta- Vata Rakta,RAKTA GOUT  ,LOWER BODY,THIGHS,PAIN,,SEVERE
Rakta- Vata Rakta,RAKTA GOUT  ,LOWER BODY,THIGHS,PAIN,NEEDLING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,Back & Spine,WAIST,PAIN,PRICKING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,Back & Spine,WAIST,PAIN,TEARING,
Purvarupa VATA RAKTA,PRODROMAL GOUT,Back & Spine,WAIST,PAIN,THROBBING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,Back & Spine,WAIST,PAIN,PIERCING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,Back & Spine,WAIST,PAIN,NEEDLING,
UTANA VATA RAKTA ,SUPERFICIAL GOUT,Back & Spine,WAIST,PAIN,CONSTRICTING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,Back & Spine,WAIST,PAIN,NEEDLING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Back & Spine,WAIST,PAIN,PIERCING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Back & Spine,WAIST,PAIN,,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Back & Spine,WAIST,PAIN,NEEDLING,
Pitta- Vata Rakta,PITTA GOUT ,Back & Spine,WAIST,PAIN,THROBBING,
Kapha- Vata Rakta,KAPHA GOUT ,Back & Spine,WAIST,PAIN,,MILD
Sannipata Vata Rakta,SANNIPATA GOUT  ,Back & Spine,WAIST,PAIN,PRICKING,
Sannipata Vata Rakta,SANNIPATA GOUT  ,Back & Spine,WAIST,PAIN,,MILD
Vata Pitta Vata Rakta,Vata-Pitta Gout,Back & Spine,WAIST,PAIN,PRICKING,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,Back & Spine,WAIST,PAIN,,MILD
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,Back & Spine,WAIST,PAIN,PRICKING,
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,Back & Spine,WAIST,PAIN,,MILD
Rakta- Vata Rakta,RAKTA GOUT  ,Back & Spine,WAIST,PAIN,,SEVERE
Rakta- Vata Rakta,RAKTA GOUT  ,Back & Spine,WAIST,PAIN,NEEDLING,
GAMBHIRA VATA RAKTA ,DEEP GOUT  ,Skin & External Features,WOUND,PAIN,CUTTING,
Utana & Gambhira Vata Rakta,SUPERFICIAL AND DEEP GOUT  ,Skin & External Features,WOUND,PAIN,CUTTING,
Kapha- Vata Rakta,KAPHA GOUT ,General Systemic Symptoms,JOINTS,Oiliness,,
Sannipata Vata Rakta,SANNIPATA GOUT  ,General Systemic Symptoms,JOINTS,Oiliness,,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,General Systemic Symptoms,JOINTS,Oiliness,,
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,General Systemic Symptoms,JOINTS,Oiliness,,
Kapha- Vata Rakta,KAPHA GOUT ,Skin & External Features,SKIN,Oiliness,,
Sannipata Vata Rakta,SANNIPATA GOUT  ,Skin & External Features,SKIN,Oiliness,,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,Skin & External Features,SKIN,Oiliness,,
Kapha Pitta- Vata Rakta,KAPHA PITTA GOUT  ,Skin & External Features,SKIN,Oiliness,,
Purvarupa VATA RAKTA,PRODROMAL GOUT,LOWER BODY,FEET,NUMBNESS,,
Kapha- Vata Rakta,KAPHA GOUT ,LOWER BODY,FEET,NUMBNESS,,
Sannipata Vata Rakta,SANNIPATA GOUT  ,LOWER BODY,FEET,NUMBNESS,,
Vata Kapha- Vata Rakta,VATA KAPHA GOUT ,LOWER BODY,FEET,NUMBNESS,,
